Complexity,Loss,Equation
1,6.334931,"0.16368324"
3,6.319403,"RT * 0.023754194"
4,6.3163233,"tanh(RT) - 0.8093798"
5,6.139517,"-0.10793245 / (THR - 3.477255)"
6,6.1275277,"-0.10793245 / sin(THR - 3.477255)"
7,5.8633084,"(0.036331177 / (THR - 1.879896)) * -0.63812256"
