Complexity,Loss,Equation
1,6.3349314,"0.16407575"
3,6.319403,"RT * 0.023758084"
4,5.9578443,"sin(THR / -0.013163862)"
6,5.7891498,"0.41415688 - sin(THR / 0.013159166)"
8,5.7889814,"sin(0.013161546 - (THR / 0.013161546)) + 0.41282567"
9,5.7838945,"tanh(THR) * (0.42570513 - sin(THR / 0.013167913))"
10,5.740877,"0.4377925 - sin(THR * tanh(sin(THR / 0.013149607)))"
