Complexity,Loss,Equation
1,0.9999999,"-3.9004575e-5"
3,0.9988496,"-0.08498349 / RT"
4,0.9947786,"tanh(RT) + -0.9730065"
6,0.9944594,"tanh(Delta_THR + RT) + -0.9735999"
7,0.9942958,"tanh(RT + abs(Delta_THR)) + -0.9736847"
8,0.9904892,"(tanh(RT) + -0.96546817) / (1.5109222 + Delta_THR)"
9,0.98962194,"(tanh(RT) + -0.95875067) / tanh(Delta_THR + 1.5111864)"
10,0.98940027,"(tanh(RT) + -0.9717224) / ((1.5123389 + Delta_THR) / 1.6852736)"
15,0.98928034,"(tanh(RT) + -0.96546817) * (((-0.96546817 / (1.5109222 + Delta_THR)) / -0.6855203) - abs(Delta_THR))"
