Complexity,Loss,Equation
1,6.334931,"0.16368322"
3,6.319403,"RT * 0.023753809"
4,5.8900523,"sin(THR * -156.77823)"
9,5.8417664,"sin(-4.244331 / sin((THR * THR) * 2.4135711))"
10,5.826162,"sin(sin(-4.244331 / sin((THR * THR) * 2.4135711)))"
